content,score,sentimen
bagus cumaa kadang nge lag,4,positive
tingkatkan lagi,5,positive
60% puas..Tingkatkan pelayanan..bagus..dipertahankan n d tingkatkan kebersihan mobil n keramahan supir. serta paham Map. .,5,positive
bagus,5,positive
ramah,5,positive
yg terbaik dan nyaman ....,5,positive
tidak dapat penjemputan,1,negative
baik sekali,5,positive
baik,5,positive
sangat membantu dan tidak ribet,5,positive
aplikasi ini sangat membantu saya,5,positive
saya lebih suka driver grab ramah baik cepet juga kalo pesan makanan atau paket instan mantap,5,positive
good,5,positive
terbaik,5,positive
good,5,positive
grab mantap semoga kedepannya makin sukses,5,positive
sippp,5,positive
mantap,5,positive
PEMBAYARAN TIDAK BISA TUNAI!! SANGAT MENYULITKAN!!! TIDAK BERGUNA!!,1,negative
bagus aplikasiny,5,positive
"Terimakasih pelayanan Grab Bike Bagus Murah dan Cepat, Supirnya ramah dan baik",5,positive
"tks, sangatmembantu",5,positive
sempurna next order lagi,5,positive
sangat membantu dalam kendaraan,5,positive
pesanan sesuai ekspektasi,4,positive
sangat bagus...tepat waktu dan ramah,4,positive
bagus sekai,5,positive
mmbantu disaat tak ada kendaraan,5,positive
merasa terbantu,1,negative
baik,5,positive
Selamat pagi kepada admin GRAB saya selaku Pelanggan tetap ojol minta tolong jangan kebanyakan promo mulu kasihan sama mitra driver aplikasi yang lain yang mencari rezeki gara² kebanyakan promonya mulu nihh mohon info lebih lanjut dan terima kasih,1,negative
! nnaon wkwkwkwkw k alaman O l lqqqq n ada l am wkwk kkq llqllll wkwkwkwkwkwkwkwk l lwallllpl,4,positive
bgus,5,positive
membantu,5,positive
Terima kasih pengantaran dengan cepat dan aman,5,positive
ramah,5,positive
nyaman,3,neutral
semakin bingung memakai aplikasi ini pengen cakap kotor anj,5,positive
bike hemat sngat membantu 😎,4,positive
alhamdulillah sangat menyenang dan sopan,5,positive
nice app,5,positive
baik,5,positive
"Tolong perbaiki Ovo paylaternya karna tidak bisa di buka ! sedangkan di email ada tagihan.. saya mau liat tidak bisa malah tulisannya ""gagal memuat konten"" TOLONG DI PERBAIKI",5,positive
aplikasi top dengan sekali klik kita bisa pesan apapun dan pengiriman cepat banget kok pokoknya mantap tapi murahin dikit dong ongkos ongkir masa makananya masih mahalan ongkos kirim masa di kota sendiri tp mahal banget ongkirnya,5,positive
saya sering menggunakan aplikasi ini ketika sedang bepergian dan aplikasi ini sangat membantu dalam perjalanan terutama waktu ke luar daerah.,5,positive
nice,5,positive
cepat,5,positive
"aplikasi busuk suka layar putih jangan didownload, download yg lain aja",1,negative
bagus,5,positive
sangat mantap bos,5,positive
pertahankan kepercayaan konsumen,5,positive
"ramah, sopan, tepat waktu, nyaman",5,positive
keren,5,positive
baik ramah,5,positive
oke dreve nya baik hati,5,positive
mantap,5,positive
mantab Joss,5,positive
"salam grab ada yang ingin saya tanyakan 1. pada aplikasi ini (Grab Taxi&food delivery)pada menu navigasi terdapat tampilan beberapa driver yang tampak dalam map navigasi tersebut. ada yang berwarna hijau, kuning, ungu dan mereh . pada satu driver terkadang warnya berubah 2. apa arti warna dari driver tesebut. mohon penjelasannya",5,positive
Bentar up date bentar up date celeh,1,negative
driver ramah jg rapi,5,positive
Kecewa bgt sama drivernya yg red flag parah!! Kalo 1-2 sih mending lah ini hampir semuanyaaaa :) Emg sebelum di acc jadi driver kgk ada test psikologi dulu ? Jujur sangat merugikan cust bgt :) Udah mah kita yg nunggu lama pas dateng eh drivernya ngegas² + nyolot gak jelas! Pdhl kalo gak niat diambil mending bilang dr awal biar bisa di cancel dan cari driver yg lain! Lah ini udah mah kita yg nunggu eh drivernya seenaknya maki² cust bener² ATTITUDE NOL!!,1,negative
sangat okey,5,positive
"pesan mie gacoan 4 item yang dikirim cuma 3 item,baru pertama x pake aplikasi grab uda kecewa💔",1,negative
"agak kesel sebenernya si tiap buka apk ini pasti suruh update terus, mna jarang bgt dpet diskon makanan lgi",3,neutral
mantap,5,positive
sangat membantu,5,positive
grab bermanfaat...tolong breafing driver bluebird agar ketika kursi 6 siap dg 6 penumpang kursi 4 siap dg 4 penumpang,5,positive
ada yg bgs ada yg cuek,5,positive
mantap simple gak ribet,5,positive
suscec sllu,5,positive
all in the best 👍👍,5,positive
"aplikasi sangat membantu , cuma biaya admin paylater 40ribu kemahalan , melebihi biaya admin credit card , KL di x 12bulan sudah 480ribu setahun, coba diturunkan biar bisa bener2 membantu masyarakat, terima kasih",5,positive
solusi terbaik disaat laper,5,positive
sangat membantu,5,positive
bagus,5,positive
good,5,positive
"1. Sy Gak Sk Ada Pengantaran Double Order, Bikin Org Tunggu Lama 2. Susah Hubungin Customer Service Grab, Gak Ada No Telp Yg Bs Dihubungin 3. Customer Tidak Bs Chat Resto, Harus Tunggu Resto Yg Chat Duluan, Jd Susah Ksh Tahu Restonya Kl Ada Yg Kelupaan Sm Pesanan, Tlg Diubah Sistemnya",1,negative
terima kasih,5,positive
puas banget sama Bpk nya baik,5,positive
"terima kasih,",5,positive
sangat baik,5,positive
biasa,3,neutral
good,5,positive
pelayanan pengemudi bagus,5,positive
ok,5,positive
mantap dah grab,5,positive
terimakasih,5,positive
bagus,5,positive
Coba dulu tak ksih bintang 4,4,positive
mempermudahkan perjalanan,5,positive
"PELAYANAN CUSTOMER SERVICE LELET GAGUNA DALAM MENANGGAPI KOMPLAIN, ADA CS ATAU ENGGA SIH INI GRAB SELALU DIBALAS SM BOT",1,negative
bagus banget aplikasinya bisa buat keperluan😍,5,positive
baik,5,positive
ok,5,positive
mantab,5,positive
sangat membantu,4,positive
terbaik,5,positive
Sudah benar ongkir termurah 5k jadi naik 8k. 👎🏻,3,neutral
"masa di aplikasi 80rb, driver minta tambahan duit lg jd 150rb, ini gimana konsepnya?",1,negative
kurang nyaman karna engantqran nya Sagat lama jdi kecewa,1,negative
sangat baik untuk order makanan dll,5,positive
baaik,5,positive
pengantaran cepat dan tepat,3,neutral
bagus dn keren aja sih😭😭😭😭,5,positive
murah,5,positive
"pokonya keren, cpt bgt",5,positive
rekomendasi buat anter kemana aman dan nyaman,5,positive
"Makin kesini makin ngibul di persulit, kek apa tiba2 masukan pin ovo, malah gak bisa bayaar pake ovo, dan saldo ovo sbelumnya masih ada pulak, KORUPSI njir",1,negative
cepat dan bagus,5,positive
"grab sangat membantu kebutuhan transportasi maupun makanan pesan antar, the best Grabbike",5,positive
"transportasi lbih praktis Krn tggal order lngsung dtng&biaya lbih hemat .aplikasi yg sangat pnting, praktis & hemat demi kpntingan umum .",5,positive
grab sangat membantu kami dan layanannya 👍,5,positive
Sdh biasa pakai grab,5,positive
sangat baik,5,positive
"6 h. y. 6 bc h b bb bb b7 m uu,.u..6.6n b ...h5... n! y",3,neutral
vouchernya tiba tiba ilang,1,negative
bagus,5,positive
sangat puas drivernya cantik dn ramah👍👍👍,5,positive
nyaman,5,positive
sangat puas,5,positive
sangat membantu,5,positive
mudah dan sangat membantu dalam perjalanan,5,positive
praktis,5,positive
"parahh pelayanan seperti ini grab bikin perut sakit dari batang ke gringsing 290.000 ac gak nyala, mobil nya bikin perut sakit mau senyum aja tidak bisa ... parahh bangett SANGAT TIDAK REKOMENDASI",1,negative
Terima Kasih,5,positive
maju terus,5,positive
trimakasih orang baik sudah mengantar saya sampe rumah,5,positive
trimakasih saya senang,5,positive
sangat Sukak karena bisa membantu perjalanan jauh,5,positive
baik,4,positive
kode vocer scam,1,negative
no comment soalnya bagusss,5,positive
bagus sih cuma diskonnya dikit,5,positive
membantu banget,5,positive
okeh,5,positive
TO BAD THIS APLIKASI,1,negative
Alhamdulillah sangat memuaskan AP LG drivernya baik2,5,positive
bagus,5,positive
sangat bagus,5,positive
a s,1,negative
"Udh berapa kali order driver nya minta di batalin dengan alasan ca ci cu, ada juga driver yg minta harga lebih tinggi padahal udh tertera argo nya segitu dengan alasan ke jauhan, ya kalau males ngegrab non aktif aja dulu akun nya, tolong pihak grab sleksi tuh driver yg malas dan driver yang bener bener mau kerja",5,positive
mantap,5,positive
oke dan mantab,5,positive
tolong dong untuk grab daerah pedalaman di map padahal ada 2 yg aktif tapi ga ada satupun yg nyangkut ini sistemnya yg gimna apa orangnya yg ga mau UANG!!!,2,negative
memudahkan,5,positive
"apk yang sangat ngebantu bgt sih ini, klau kita mager keluar, trus cepat banget sampai nya dong, murah juga, approved sama apk nya",5,positive
apk Kocak Masa ongkos Kirim 0.6km 8000 sedangkan yang 5km cuma 5000 udah gitu tarif ongkirnya naik terus padahal udah lama pake APK kocak ini mending pindah Ke gojek dengan Toko yang sama dan ongkir yang jauh berbeda,1,negative
"pelayanan pembayaran tunai ga Workit.Banyak pengguna grab ketika pembayaran tunai alasannya uang kembalian ga ada, segitunya mau cari Untung?Mau tidak Mau harga 20 karena ga ada uang kembalian terpaksa kasih semua 100k.Sory aja setiap pesan ksh 1 Bintang.",1,negative
tpat waktu dan ramah.,5,positive
nyaman,5,positive
OK,5,positive
👍,5,positive
percuma ada opsi chat bantuan kalo bantuannya gabisa ngasih bantuan apa apa mah buat apa ada? biar lebih bagus aja gitu?,1,negative
nice,5,positive
ITS so super,5,positive
perlu dibaca MAP dan WA biar sinkronisasi 🙏,4,positive
ramah dan tepat waktu,5,positive
sangat baik,5,positive
suka eror sekarang ini. bikin orang terlambat,1,negative
customer nya sering fitnah driver,1,negative
terbaik,5,positive
bagus pelayanannya ..,5,positive
ini bisa aplikasi ini bagus,5,positive
"yg membuat saya kurang nyaman, 70% driver grabcar di jogja selalu menawarkan jasa untuk mengantarkan membeli oleh2. saya smp hafal kalimat2 yg dimulai ketika driver mulai menawarkan jasa tsb dgn nada yg ramah. ""dari mana Pak asalnya?"" ""sudah brp hari di jogja?"" ""pulangnya kapan?"" ketika saya menolak dgn sopan, seketika para driver tsb berubah sikapnya dgn tidak membalas ucapan terima kasih saat tiba di tujuan.",4,positive
good,5,positive
"nyaman, ramah dan semoga pengemudi gak ada alasan gak jemput Krn macet",5,positive
semua dibuat mudah,5,positive
Pengemudinya sopan & tau jalan,5,positive
"ramah, sip lah",5,positive
Bepergian jadi mudah,5,positive
bagus,5,positive
sangat membantu,4,positive
good driver,5,positive
perfect,5,positive
pelayanan cepat,5,positive
"driver nya mantap, tks",5,positive
ok,5,positive
maaf saya kasih bintang 1 dikarenakan pesanan saya di cancel sm restonya karena dapet grabcar jadi harus nunggu lama lagi gimana sih,1,negative
cepat dan ramah,5,positive
pengemudi ramah,5,positive
"GIMANA SI DRIVERNYA BAWA KABUR DOMINO'S PIZZA YG TEMEN SAYA BELI, LAGI LAPER²NYA LOH PADAHAL, LEPAS TANGGUNG JAWAB BANGET",1,negative
Sangat Puas,5,positive
top,5,positive
bagus,5,positive
aplikasi kasih ini sangat membantu dan bisa mengutarakan anda ke mana saja,5,positive
"dgn adanya grab, sangat membantu sekali",5,positive
kalo pesen hemat sengaja dilama-lamain,1,negative
mobilnya nyaman,5,positive
semoga lebih baik lagi,5,positive
bagus,5,positive
good,5,positive
puas,5,positive
mudah di akses,5,positive
good,5,positive
kenapa skrng gk bisa lihat ulasan ya...,5,positive
mantap,5,positive
👍bagus,5,positive
terima kasih pak rusdi,5,positive
Di antar dengan aman,5,positive
oke...mantap,5,positive
murmer,5,positive
Bagus,5,positive
Auto saya uninstall dan gak mau pake lagi. Masa iya bikin promo tapi tiba2 hilang.😂 Mending gua ke apk sebelah jelas promonya. Daripada disini setelah diorder promonya hilng. Sorry ya bukan krn pengen ngejar2 promo. Tapi integritas aplikator gak benar kalau spt ini. Kemudian masa iya order nasi Padang doang sampai 30 menit diproses? Proses doang loh itu. Belum nganternya. Ini yg salah bukan restonya tapi Aplikasinya yg gak bener. Gak ada berubahnya Grab ini dari dulu.,1,negative
ok,5,positive
seneng,5,positive
makin kesini driver nya malah makin nyolot. pesen yang xl penumpang berlima padhl dua bayi. masih marah marah. minta lebih.. kacau sekali ini.,1,negative
baik dan ramah,5,positive
oke,5,positive
sangat bermanfaat,5,positive
Tapi kok agak lemot ya,5,positive
sangat membantu,4,positive
terima kasih atas kebaikan dan kesopanan nya,5,positive
bagus,5,positive
100% driver Very good👍👍👍,5,positive
sangat terbantu dan banyak manfaatnya,5,positive
nyaman pokonya enak semuanya keren a,5,positive
bagus perjalanan nya,5,positive
untuk fitur tampilan mapsnya kurang bagus dan tidak akurat (tidaksama) dengan di tampilan Google maps jadi agak sulit,4,positive
"grab mudah, lancar",5,positive
aplikasi tdk tdp diinstal setelah hp di restat,1,negative
"aku kasih bintang 5,agar dibaca utk info,hati hati apabila menggunakan vocher grab benar2 perhatikan petunjuk pemakaian. pengalaman beli giftgrab vocher isi.100rb digunakan 25.rb sisanya hangus.konfirmasi pihak grab gak ada solusi. kalau baca petunjuk di Ai whatshap,kelebihan dana grab gift bisa digunakan.",5,positive
nyaman dan ramah drivernya,5,positive
sangat membantu,5,positive
tepat waktu dan ramah,5,positive
makasiih,5,positive
memuaskan,5,positive
Respon cepat dan supir supirnya ramah.,5,positive
pengemudi ramah 👍,5,positive
mantap,5,positive
sangat baik,5,positive
nggak ngebut baik,5,positive
nice app n help full,5,positive
aplikasi yg membantu banget ketika dibutuhkan👍👍 jaya selalu grab,5,positive
baik,5,positive
ok baguss,5,positive
baik,4,positive
puas pelayanan ramah,5,positive
"grab sudah murah,gampang lagi kalau di pesan",5,positive
"MESEN GRABCAR JAM 12 MALEM DRIVER GAADA YG MAU NGAMBIL, PAS DITANYA KE DRIVERNYA KNPA GAMAU AMBIL KARNA ONGKOS YG MASUK KE DRIVER CUMA 30ribu SEDANGKAN SAYA BAYAR 49,500 APLIKASI PARAH POTONGAN NYA!!!",1,negative
best,5,positive
lamain nunggu 15 menit.,1,negative
"tiap bayar nya pakai tunai sering di suruh batalkan sama supir nya hampir tiap pake grab gitu terus, jadi jelek akun saya. awalnya g tau kalo itu berpengaruh",3,neutral
sangat membantu aplikasi ini.,5,positive
Driver amanah...ok,5,positive
bagus mantep bngt deh,5,positive
tepat waktu.. keren..,5,positive
👍,4,positive
"kemana² jd mudah, nyaman, dan hemat",5,positive
GK jadi mantep la... parah habis....bisa macet punya......,5,positive
seribu penilaian bintang 5 driver . sinar karna 1 penilaian kurang baik dari cs . membuat driver susah mendapatkan orderan. lebih bijak lagi untuk memberi penilaian ke driver terimakasih,1,negative
baik aman,5,positive
bagus,5,positive
good,5,positive
kenapa harus verifikasi muka dah? cuman mau order driver bukan mau pinjol,4,positive
payah,1,negative
ok,5,positive
mantap,5,positive
respon cepat,5,positive
baik,5,positive
siippp,5,positive
ramah banget ganteng lagi..,5,positive
"apk ini tuh membantu bngt semisal kalian lagi mager buat beli makan langsung jadi bisa melalui apk ini, mana ga ribet lagi dan jg potongan harga ny wow bngttttt pokoknya makasi ya udh ciptain grab",5,positive
"jarang² sih pesan di grab tapi kalau pas cape aja atau ada kesibukan baru pesan , alhamdulillah lancar aja sih gak merasa di rugikan",5,positive
bagus,5,positive
sangat membantu saya dalam kondisi patah tulang.yg dontol ini,5,positive
ok,5,positive
bagus,5,positive
bagus,4,positive
good,5,positive
Kenapa layar navigasi grab selalu ketutupan iklan? kita sbg penumpang jd susah kl mau melihat posisi driver sdh sampai mana kl mau jemput kita.,2,negative
layanan mantap,5,positive
bagus tepat waktu,5,positive
bagus,5,positive
good,5,positive
"ni apk ganggu bgt, iklan trs smpe hp lemot.",2,negative
oke,5,positive
"daerah sini,drivernya agak lain, udah pesen grabcar minta di offline kan/dibatalkan, katanya biar gak kepotong admin,, giliran online minta ditambahin,, udah 3x begitu",4,positive
mudah dan cepat trimakasih,5,positive
ramah sangat membantu,5,positive
cepat,5,positive
"kadang drivernya tidak pakai seragam jadi tidak tau bahwa itu driver yang di pesan,kadang plat motornya beda dengan aplikasi,tidak membaca intruksi padahal sudah diketik di catatan lalu untuk apa ada sistem catatan bila tidak dibaca padahal itu untuk mempermudah pelanggan dan driver",3,neutral
servis memuaskan,5,positive
oknum driver m4&erannnnn mending engga usahh ngojol dari pada nyusahinnn oranggg ngertii!!!!!!!!!,1,negative
"pertama nyoba, nice",5,positive
sangat baik,5,positive
ramah,5,positive
harga terjangkau,5,positive
"grab bgst , disuruh verif ovo ga jelas, gagal terus , terus hapus akun ovo, saldonya ilang gitu ? bgzt",5,positive
nyaman dan murah,5,positive
di suspen karena verifikasi padahal akun sendiri . di email katanya kode etik.. tp ngak di jelasin pelanggaran apa. ke kantor grab tetap aja katanya karena verifikasi . ngak ada alasan lain. apa karena akun tua ya . JD mulai suspen akun lama. grab makin ngak bener operatornya,2,negative
ok,4,positive
juos,5,positive
bagus,5,positive
bintang berbicara,5,positive
Grab - Taxi & Food sangat bermanfaat untuk menunjang kelancaran transportasi dalam berbagai bidang usaha.,5,positive
okk,5,positive
nice,5,positive
baik santun,5,positive
terimakasih atas pelayanan terbaik grab,5,positive
mantap,5,positive
pengemudinya ramah,5,positive
bagus,5,positive
ok,5,positive
bagus,5,positive
ok,5,positive
yes menarik,5,positive
mudah di gunakan,5,positive
sangat baik,5,positive
mantap,5,positive
mantaap,5,positive
mantap,5,positive
bagus,5,positive
Dengan greab hemat kemana saja lebih mudah.,5,positive
sangat bagus,5,positive
nyaman,4,positive
bermanfaat,5,positive
sudah jauh pakek petanya gak akurat,1,negative
pesan lebih mudah,5,positive
oke lah,5,positive
mantap,4,positive
ok,5,positive
Paket Unlimited nya Scam bikin susah dapet driver,1,negative
"Maaf yaa sebelumnya buat yg punya apk Grab, saya bukan driver atau pengguna mitra. Cuma saya melihat sendiri byk dimedsos maupun di sekitar saya yg kerja sebagai drivernya. Sangat disayangkan sekali banyak kasus yg mana driver kena suspend gara2 costumer ngasih bintang asal2an yg mana cuma gara2 masalah yg gak bikin customer itu gak terancam apapun, apalagi gak sedikit yg ternyata dilakukan sengaja oleh costumer entah itu karena beg0, bahkan iseng nutup rejeki orang! tolong diperhatikan lagi",1,negative
mantaaaaaap,5,positive
abang nya ramah,5,positive
pengalam pertama kali naik grep sangat membantu perjalan saya,5,positive
terimakasih sudah mengantarkan saya ke tempat tujuan...,4,positive
good apk,5,positive
"mahal banget , murah gojek setengahnya sendiri harganya.",3,neutral
sangat nyaman dan ramah,5,positive
baik,5,positive
👍🏼👍🏼👍🏼,5,positive
Oke,5,positive
biar bintang yg bicara,5,positive
sangatlah puas,5,positive
bagus,5,positive
pelayanan semase di jalan sangat baik,5,positive
trimakasih,5,positive
baik,5,positive
bagus dengan grab memudahkan segalanya,5,positive
baik,5,positive
sangat sangat membantu,5,positive
nyaman,5,positive
dengan grab saya sangat terbantu .mempermudah disaat saya butuh kendaraan yg mau ngantar kesana kemari,5,positive
banyak promonya harga murah merakyat,5,positive
"tolong dong metode pembayarannya ditambah.. ini pake tunai gabisa, qr driver ga bisa, pake linkaja/ovo ribet.. yang selain pake kartu gitu",2,negative
mudah digunakan,5,positive
good,5,positive
okey,5,positive
baik orangnya & suka bercanda,5,positive
makin update makin ribet dan masuk,1,negative
Sangat bagus,5,positive
"lancar,sopan, kendaraanx enak",5,positive
"banyak titik map yg tidak sesuai, tolong diperbaiki masalah map nya, karena sering kali order tpi kurir nyasar terus dan ada yg gk ktemu, alhasil gofoodnya saya ksih ke kurir karena dia tdk menemukan titik map yg sesuai😑",2,negative
Grab the world of Warcraft aku mau pergi ke mana sob di depan pintu masuk ke rumah dong aku mau jadi pacar di rumah y Neo seri yang memberikan promosi dan nyaman selama aku pasti kembali ke tempat yang berlawanan arah yang berlawanan arah dengan galaxy note N7000 black metal yang berlawanan arah jarum di depan pintu masuk toksin dan nyaman dan aman untuk dikonsumsi,5,positive
mantap,5,positive
bagus,5,positive
Aplikasi bikin repot minta update mulu... Klo lagi urgent mau di pake minta update....,1,negative
ok,5,positive
mantap,5,positive
aplikasi yang sangat diperlukan saat kamu lapar,5,positive
"apasii ituu ngiming"" diskon klo bayar dari ovo cuih ahh, mana mahal banget lagi admin nyaa itu ovo, kloo mauu kerja sama kaya gtu sama apk e-wallet mending jngan sama ovo, jelekk bangett apk ovo, benci bangett sama ovo demi allahh gasuka bangett ihh",1,negative
cakep,5,positive
mantap,5,positive
mantap,5,positive
mahal bgt njir sekarang dri 11k sampe 20k njir padahal jalur ny sama,1,negative
mantap,5,positive
"pesanan maknaan,drivel batal mulu ga bisa komplen ,kasih nilai 1 udh nunggu lama",1,negative
is the best,5,positive
lancar,5,positive
kok GK BS bayar tunai ya?,2,negative
sangat bagus pelayan ny good,5,positive
keren,5,positive
aplikasi yg sangat bagus membantu pergerakan memutar roda ekonomi kita,5,positive
keren,5,positive
ramah,5,positive
"Dengan biaya lebih mahal. tolong hargai customer dan driver. dapat jauh2, pakai otak otak biar enak",4,positive
Aplikasi sampah !!! Bagusan makai gojek dan maxim,5,positive
sangat memuaskan,5,positive
bagus,5,positive
layanan mantap,5,positive
Terima kasih,5,positive
"Pemesanan saya dengan nomor pemesanan A-8DDKGFNGW5MKAV tidak sah. Saya sudah mengajukan laporan dan kasih bintang satu dengan penjelasan dan melaporkan kejadian itu, tapi kenapa Grab tidak memberikan saya biaya ganti rugi, tapi tetap menarik saldo saya. Pada malam tanggal 23 September driver tidak pick up orderan saya tanpa membawa saya. Padahal terlihat tujuan grab berubah jauh dari pesanan saya.",1,negative
diskon nya bohong ongkir nya mahal bgt,1,negative
Sangat Bagus,5,positive
ternyata enak pake grab ya baru pertama nyoba pelayanan nya bagus tadinya ragu2 sekarang setelah Makai jasa grab JD ketagihan 😁😁😁👍👍,5,positive
sangat bagus,5,positive
aplikasi yg bagus,4,positive
tolong ganti jadi kendaraan listrik biar gak polusi suara dan udara,2,negative
sangat baik,1,negative
bqgus,5,positive
bagus,5,positive
suka dengan cepat pelayanannya,5,positive
amanah tahu jalan,5,positive
titik sesuai dri app gabisa pilih pilih sendiri dari st kranji depan atau belakang,4,positive
good,5,positive
baik,5,positive
Bapaknya baik dan ramah,5,positive
terbaik,5,positive
"bagus tepat waktu, perjalanan nyaman",5,positive
tolong di kasih menu untuk penilaian pengemudi yg se enaknya cancel pesanan yg sdh diambil. krn brdampak kerugian bagi pemilik toko dan pelanggan. biar tdk semaunya di batalin orderan yg sdh di ambil. trmksh,3,neutral
mau bikin akun pas verifikasi masukin nomer hp erorr muluu anjirr kenapa si,1,negative
iklan nya terlalu banyak,5,positive
baik,5,positive
"keren,pelayan cepat",5,positive
baik,5,positive
driver motor dengan jaket udah gak layak pakai itu di kasih kompensasi atau di beri kebijakan boleh pakai jaket pribadi gitu. masa nganter penumpang atau makanan modelan kek pemulung. apa gak ada SOP kalo driver wajib berpakaian rapi dan sopan. bikin ilfeel,1,negative
nb.dn in,4,positive
ok,5,positive
mantappp,5,positive
so far Ok,5,positive
sangat membantu perjalanan saya,5,positive
ok,5,positive
good Job,5,positive
Great application.,5,positive
mantab,5,positive
"Tekanan ekonomi yang di hadapi kian bertambah seiring program2 baru yg lahir dan itu semua di embankan kepada mitra dan konsumen. saya bertanya-tanya kemana arah bisnis ini berjalan? pihak2 ke tiga yg dipromosikan tak lain adalah bayang2 financial yg mengurung mitra kedalam dilema objek financial itu sendiri. ""save your self"" begitulah pesannya, ""and pay for play"". saya sebagai masyarakat bawah memiliki sebuah kata bijak "" jika padi layu jangan tunggu pucuknya menyentuh tanah""",3,neutral
"Set lokasi kita nya susah, apalagi yang baru dowload,",2,negative
ok bagus cepat,5,positive
sangat baik,5,positive
harga makanan di aplikasi lebih mahal dari pada beli tanpa aplikasi. tapi itulah lebih memudahkan bisa pesan dari rumah saja.,5,positive
mulai ada iklan.. gak suka... anoying,2,negative
aman,4,positive
siip,5,positive
sangat baik,5,positive
bagus,5,positive
sangat membantu,5,positive
excelent,5,positive
grab jangan mahal mahal lah tarifnya grab terlalu mahal banget warga pada ngeluh nih harganya mahal kasian jadinya.,1,negative
"alamat kesimpan tiba tiba udah ngak ada, maps ngak akurat",1,negative
ok,5,positive
T.O.P,5,positive
aplikasi ta4ik yg Lamaan mesan makanan dari jam 12.00 sampe jam 02.00 tak diterima terima,1,negative
keren,5,positive
puas,5,positive
tidak bisa pesan ojol,3,neutral
terbaik,5,positive
baik,5,positive
semua serba lama,1,negative
cintaa apkk inii love sekebonn,5,positive
2 jam ngak dapat driver ngak bisa dibatalkan dasar aplikasi tolol sampah,1,negative
jadi yg lebih terbaik lagi grab,5,positive
bagus,5,positive
ok,5,positive
"harga nya sangat jauh mahal di aplikasi. udah ngambil untung banyak dari driver. ambil untung banyak lagi dari penjual makanan, lebih dari separuh harga makanan di ambil grab. saya doakan grab tutup dari indonesia secepatnya",1,negative
🥳,5,positive
"yah diskon 70%nya udah ga ada, thanks sudah menemani jajan-jajan ku, saatnya uninstall 😁.",1,negative
"tepat waktu, ramah",5,positive
selalu memuaskan pelayanan nya 😊,5,positive
"Driver ojolnya sangat baik dan sangat membantu, semoaga selalu diberikan kesehatan dan keselamatan selama bertugas, dimudahkan rezekinya",5,positive
p9 90.0lo.au5oq,3,neutral
terbaik,5,positive
cepat aman dan nyaman good job,5,positive
sangat membantu,5,positive
ini ga tau oknum atau gimana ya masa makanan saya asal di kasih ke orang sih harusnya setelah sampai kasih konfirmasi dlu jangan asal ngasih ke orang terus nomor mas mas grab nya ga ada yg bisa di hubungi malah harus menghubungkan ke grab terus tidak ada niatan buat ngechat saya lagi padahal ini salah kurir pengantar nya klo kayak gini siapa yang rugi apalagi itu hasil saya nahan diri buat ga jajan berlebihan MOHON TANGGUNG JAWAB NYA YA,1,negative
sangat membantu,5,positive
the best,5,positive
"Aplikasi apa ini? Supirnya pemalas semua! kalau sudah hujan dan malam hari, tidak mau ambil penumpang! etos kerja yg buruk! tutup aja aplikasi grab ini, pada pemalas semua drivernya tidak mau bekerja!",1,negative
👍👍👍👍👍,5,positive
sangat lama ketika memesan makanan,1,negative
orangnya baik dan ramah,5,positive
Udah Minta verifikasi wajah . pas da diverifikasi pun tetap sama gk bisa mesan ntah gimana ni grab,2,negative
mohon pencerahannya masukan no TLP di bisa masuk email sudah bisa mohon.bantuannya,5,positive
sopirnya sabar menungguh,5,positive
mantap,5,positive
good,5,positive
sangat membantu,5,positive
driver ramah n sopan,5,positive
sangat2 mmbantu,5,positive
mantap,5,positive
"tiap gua mau bayar gabisa, udah ganti ke metode pembayaran yang lain tetep ga bisa kocak, lapor ke cs begitu doang jawaban nya sangat tidak membantu",1,negative
aplikasi yang sangat2 membantu untuk yang mencari jasa transportasi dengan harga yang sangat2 murah banyak diskon,5,positive
mantap,5,positive
"sempùrna pengemudinya baik ramah mobilnya wangi, bawanya sabar",5,positive
"lumayan membantu kalo mau buru buru driver yang ditemuin selama ini orangnya ramah dan baik,good job.",5,positive
Nyaman perjlnan jdi mudah,5,positive
asik dan sangat bagus.,5,positive
terbaik,5,positive
"sangat di bantu karna ada grab,jadi mudah untuk berpergian kemna pun sangat mudah & cepat",5,positive
untuk pertama kali naek grabe ternyata lebih murah dari yang selama ini aku jadi customer.,5,positive
good servis,4,positive
luar biasa,5,positive
pelayanan baik,5,positive
sangat membantu sekali,5,positive
pengiriman cepat..,5,positive
good job👍,5,positive
sempurna,5,positive
bagusssss,5,positive
👍👍,5,positive
👍🏻👍🏻👍🏻👍🏻👍🏻,5,positive
sangat puas drefer baik,5,positive
simple,5,positive
mantap baru kali ini ktemu supir yang baik lemah lembut,5,positive
"SADIS BANGET INI APPLIKASI GRAB, CUST SERVICENYA GA GUNA BANGET BENER2 GA GUNAA MAU BELI KUPON DI DINEOUT AJA SUSAH BANGET GA ADA SOLUSINYA",1,negative
apa skr aplikasi grab tdk bisa ngasih tips buat kurir dan ngasih nilai buat kurir kah? ktika memesan makanan jg gak terlihat d aplikasi kurirx siapa plat no motorx gak tertera jg d mapx cmn tlsn estimasi tiba aj gak sprti biasax ap cmn aplikasi grabq aj begini,2,negative
